,terraday,minimum_temp
0,1,-75.0
1,2,-76.0
2,3,-76.0
3,4,-74.0
4,5,-74.0
5,6,-78.0
6,7,-77.0
7,8,-76.0
8,9,-76.0
9,10,-76.0
10,11,-76.0
11,12,-74.0
12,13,-74.0
13,14,-75.0
14,15,-75.0
15,16,-75.0
16,17,-76.0
17,18,-75.0
18,19,-75.0
19,20,-75.0
20,21,-74.0
21,22,-74.0
22,23,-74.0
23,24,-73.0
24,25,-73.0
25,26,-73.0
26,27,-73.0
27,28,-73.0
28,29,-73.0
29,30,-73.0
30,31,-75.0
31,32,-75.0
32,33,-75.0
33,34,-75.0
34,35,-74.0
35,36,-75.0
36,37,-74.0
37,38,-74.0
38,39,-75.0
39,40,-75.0
40,41,-74.0
41,42,-72.0
42,43,-76.0
43,44,-74.0
44,45,-71.0
45,46,-72.0
46,47,-74.0
47,48,-73.0
48,49,-73.0
49,50,-74.0
50,51,-76.0
51,52,-75.0
52,53,-72.0
53,54,-72.0
54,55,-73.0
55,56,-74.0
56,57,-72.0
57,58,-73.0
58,59,-73.0
59,60,-71.0
60,61,-73.0
61,62,-73.0
62,63,-72.0
63,64,-71.0
64,65,-73.0
65,66,-70.0
66,67,-72.0
67,68,-73.0
68,69,-73.0
69,70,-71.0
70,71,-71.0
71,72,-73.0
72,73,-70.0
73,74,-72.0
74,75,-72.0
75,76,-72.0
76,77,-70.0
77,78,-71.0
78,79,-71.0
79,80,-70.0
80,81,-70.0
81,82,-73.0
82,83,-71.0
83,84,-74.0
84,85,-74.0
85,86,-72.0
86,87,-70.0
87,88,-68.0
88,89,-71.0
89,90,-68.0
90,91,-68.0
91,92,-68.0
92,93,-66.0
93,94,-65.0
94,95,-67.0
95,96,-66.0
96,97,-67.0
97,98,-66.0
98,99,-66.0
99,100,-66.0
100,101,-66.0
101,102,-65.0
102,103,-64.0
103,104,-65.0
104,105,-66.0
105,106,-65.0
106,107,-66.0
107,108,-69.0
108,109,-66.0
109,110,-67.0
110,111,-66.0
111,112,-65.0
112,113,-66.0
113,114,-67.0
114,115,-66.0
115,116,-65.0
116,117,-66.0
117,118,-66.0
118,119,-68.0
119,120,-66.0
120,121,-67.0
121,122,-67.0
122,123,-65.0
123,124,-65.0
124,125,-65.0
125,126,-65.0
126,127,-65.0
127,128,-67.0
128,129,-65.0
129,130,-65.0
130,131,-64.0
131,132,-65.0
132,133,-66.0
133,134,-66.0
134,135,-64.0
135,136,-65.0
136,137,-65.0
137,138,-63.0
138,139,-64.0
139,140,-64.0
140,141,-65.0
141,142,-65.0
142,143,-65.0
143,144,-65.0
144,145,-64.0
145,146,-65.0
146,147,-63.0
147,148,-65.0
148,149,-65.0
149,150,-64.0
150,151,-65.0
151,152,-64.0
152,153,-66.0
153,154,-65.0
154,155,-67.0
155,156,-65.0
156,157,-65.0
157,158,-65.0
158,159,-64.0
159,160,-65.0
160,161,-65.0
161,162,-65.0
162,163,-66.0
163,164,-66.0
164,165,-66.0
165,166,-67.0
166,167,-67.0
167,168,-67.0
168,169,-67.0
169,170,-68.0
170,171,-67.0
171,172,-66.0
172,173,-66.0
173,174,-66.0
174,175,-66.0
175,176,-67.0
176,177,-67.0
177,178,-67.0
178,179,-67.0
179,180,-67.0
180,181,-67.0
181,182,-66.0
182,183,-67.0
183,184,-68.0
184,185,-68.0
185,186,-66.0
186,187,-67.0
187,188,-67.0
188,189,-67.0
189,190,-67.0
190,191,-67.0
191,192,-66.0
192,193,-68.0
193,194,-67.0
194,195,-66.0
195,196,-66.0
196,197,-66.0
197,198,-66.0
198,199,-66.0
199,200,-66.0
200,201,-66.0
201,202,-66.0
202,203,-66.0
203,204,-66.0
204,205,-66.0
205,206,-66.0
206,207,-66.0
207,208,-66.0
208,209,-66.0
209,210,-66.0
210,211,-66.0
211,212,-66.0
212,213,-66.0
213,214,-66.0
214,215,-66.0
215,216,-66.0
216,217,-66.0
217,218,-66.0
218,219,-66.0
219,220,-71.0
220,221,-69.0
221,222,-71.0
222,223,-70.0
